title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
"Digital Implementation, Specialist II",https://www.naukri.com/job-listings-digital-implementation-specialist-ii-carlson-wagonlit-travel-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-6-years-290124502721,https://img.naukimg.com/logo_images/groups/v1/12846.gif,CWT,https://www.naukri.com/cwt-jobs-careers-9949,https://www.ambitionbox.com/reviews/cwt-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,359  Reviews,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor s Degree and / or combined equivalent experience and education . Advanced know...,Training,Analyst,Excel,Travel management,Quality audit,Manager Technology,Mentor,Data quality,1 Day Ago
Insights partner,https://www.naukri.com/job-listings-insights-partner-hoffmann-la-roche-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-7-years-100523503535,https://img.naukri.com/logo_images/v3/3790422.gif,Hoffmann-La Roche,https://www.naukri.com/hoffmann-la-roche-jobs-careers-3790422,,,,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",. Educational Qualification - Must Meet: Post Graduate Degree in Marketing (completed o...,Procurement,Marketing analytics,Networking,Analytical,Healthcare,Market research,Oncology,Data analytics,Just Now
Excellent openings For Informatica MDM - Hexaware Technologies,https://www.naukri.com/job-listings-excellent-openings-for-informatica-mdm-hexaware-technologies-hexaware-technologies-pune-maharashtra-chennai-tamil-nadu-mumbai-all-areas-4-to-6-years-040124005999,https://img.naukimg.com/logo_images/groups/v1/12466.gif,Hexaware Technologies,https://www.naukri.com/hexaware-technologies-jobs-careers-9815,https://www.ambitionbox.com/reviews/hexaware-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,4671  Reviews,4-6 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Mumbai (All Areas)","Required experience - 4 to 6yrs. Preferred Secondary Skills - Informatica IDQ, AZURE Cl...",Informatica Mdm,MDM,Master Data Management,Research Data Management,RDM,Master data,Management,Data management,Just Now
Sr. Business Analyst,https://www.naukri.com/job-listings-sr-business-analyst-telus-international-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-8-to-10-years-300124502261,https://img.naukimg.com/logo_images/groups/v1/250496.gif,TELUS International,https://www.naukri.com/telus-international-jobs-careers-1601,https://www.ambitionbox.com/reviews/telus-international-philippines-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,892  Reviews,8-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Shift - Canadian working hours .  . Bachelors degree in a relevant field or equivalent ...,BPO,Graphics,Telecom,Agile,Technical Illustrator,Animation,Customer service,Consumer electronics,1 Day Ago
"Data Scientist, Marketing",https://www.naukri.com/job-listings-data-scientist-marketing-coursera-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-6-years-240124501248,https://img.naukimg.com/logo_images/groups/v1/2457162.gif,Coursera,https://www.naukri.com/coursera-jobs-careers-3125134,https://www.ambitionbox.com/reviews/coursera-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,18  Reviews,4-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",We are seeking a highly skilled and collaborative Senior Data Scientist to join our ...,Data analysis,data science,Troubleshooting,Analytics,Monitoring,SQL,Python,Salesforce,6 Days Ago
Senior Analyst,https://www.naukri.com/job-listings-senior-analyst-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-240124501003,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Ford Global Business Services is looking for Senior Analyst to join our dynamic team ...,Business services,Data analysis,Senior Analyst,Process improvement,Analytical,Trend analysis,Strategic planning,Budgeting,6 Days Ago
Healthcare Consultant II - Data Analyst,https://www.naukri.com/job-listings-healthcare-consultant-ii-data-analyst-citiustech-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-8-to-10-years-240124501617,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,8-10 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru","Responsible for requirement Gathering, Solutioning creating BRD, and technical specific...",Coding,SSRS,Consulting,Agile,Healthcare,Market research,Life sciences,SSIS,6 Days Ago
Lead Data Engineer,https://www.naukri.com/job-listings-lead-data-engineer-telus-international-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-6-to-8-years-250124500364,https://img.naukimg.com/logo_images/groups/v1/250496.gif,TELUS International,https://www.naukri.com/telus-international-jobs-careers-1601,https://www.ambitionbox.com/reviews/telus-international-philippines-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,892  Reviews,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","The candidate must demonstrate ownership of ETL and data testing processes, initiate au...",BPO,Data conversion,RDBMS,Analytical,Agile,Workflow,Agile methodology,Customer service,6 Days Ago
Data Engineer,https://www.naukri.com/job-listings-data-engineer-telus-international-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-4-years-250124500363,https://img.naukimg.com/logo_images/groups/v1/250496.gif,TELUS International,https://www.naukri.com/telus-international-jobs-careers-1601,https://www.ambitionbox.com/reviews/telus-international-philippines-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,892  Reviews,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor s or master s Degree preferably in Computer / IT Engineering or Information Sc...,BPO,Data conversion,RDBMS,Analytical,Schema,Data collection,Customer service,DBMS,6 Days Ago
Senior Analyst,https://www.naukri.com/job-listings-senior-analyst-telus-international-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-3-years-240124500329,https://img.naukimg.com/logo_images/groups/v1/250496.gif,TELUS International,https://www.naukri.com/telus-international-jobs-careers-1601,https://www.ambitionbox.com/reviews/telus-international-philippines-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,892  Reviews,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",TELUS International is looking for Senior Analyst to join our dynamic team and embark ...,BPO,Senior Analyst,Backend operations,Agile,Infrastructure,Customer service,Customer experience,Transaction processing,6 Days Ago
