title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Design Engineer,https://www.naukri.com/job-listings-design-engineer-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-10-to-15-years-250124500813,https://img.naukimg.com/logo_images/groups/v1/36136.gif,Nokia,https://www.naukri.com/nokia-jobs-careers-173783,https://www.ambitionbox.com/reviews/nokia-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1980  Reviews,10-15 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Sr Network Design Engineer should have a deep understanding of networking protocols, se...",Network design,QOS,Network security,Network planning,Troubleshooting,cisco,Virtualization,MPLS,6 Days Ago
IT Infrastructure and Operation Analyst - Splunk Admin,https://www.naukri.com/job-listings-it-infrastructure-and-operation-analyst-splunk-admin-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-7-to-9-years-220124501749,,Mclaren Strategic Solutions (mss),https://www.naukri.com/mclaren-strategic-solutions-mss-jobs-careers-124066566,,,,7-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Experience in building Splunk Custom Dashboards, Rich and advanced visualization /Comma...",Procurement,Change management,Linux,Data management,Analytical,Windows,IT operations,Macros,8 Days Ago
ORAN TAC Support,https://www.naukri.com/job-listings-oran-tac-support-samsung-india-bengaluru-delhi-ncr-mumbai-all-areas-7-to-12-years-310124004410,https://img.naukimg.com/logo_images/groups/v1/23222.gif,Samsung India,https://www.naukri.com/samsung-india-jobs-careers-21899,https://www.ambitionbox.com/reviews/samsung-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,6806  Reviews,7-12 Yrs,Not disclosed,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",Location: Bangalore / Mumbai/Gurgaon as per candidate preference. . We are actively loo...,ORAN,Vran,5G,RRC,Protocols,4G,troubleshooting,Enodeb,Today
Senior Network Integration Engineer,https://www.naukri.com/job-listings-senior-network-integration-engineer-nokia-solutions-and-networks-india-p-ltd-noida-mumbai-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-9-to-12-years-170124501880,https://img.naukimg.com/logo_images/groups/v1/36136.gif,Nokia,https://www.naukri.com/nokia-jobs-careers-173783,https://www.ambitionbox.com/reviews/nokia-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1980  Reviews,9-12 Yrs,Not disclosed,"Noida, Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",REQUIRED SKILLS  9 to 12 years of experience - Experience with Linux / Unix system prog...,VMware,Multithreading,project support,Linux,Networking,Configuration management,CCNA,Troubleshooting,13 Days Ago
Wintel Engineer SME & Lead,https://www.naukri.com/job-listings-wintel-engineer-sme-lead-mphasis-pune-maharashtra-bengaluru-karnataka-6-to-11-years-310124006822,https://www.naukri.com/hotjobs/images/v3/mphasis_apr19.gif,Mphasis,https://www.naukri.com/mphasis-jobs-careers-6481,https://www.ambitionbox.com/reviews/mphasis-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,6902  Reviews,6-11 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bengaluru, Karnataka",Should have Handled large Wintel-VMWare transitions and migrations Coordinates implemen...,VMware,Cloud,WinTEL,SME,Leadership,,,,Few Hours Ago
L2 Support Engineer,https://www.naukri.com/job-listings-l2-support-engineer-ibm-india-pvt-limited-pune-bangalore-bengaluru-3-to-6-years-300124905754,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,3-6 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru",The job will require flexible schedule to ensure 24x7 support operations and weekend on...,Unix,Aix,SAN,Linux,Networking,Debugging,Troubleshooting,TSM,1 Day Ago
Network Engineer - F5 Load Balancer,https://www.naukri.com/job-listings-network-engineer-f5-load-balancer-infosys-pune-maharashtra-bangalore-rural-karnataka-chennai-tamil-nadu-5-to-9-years-050124009634,https://www.naukri.com/hotjobs/images/v3/infosys_nov13.gif,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,31446  Reviews,5-9 Yrs,Not disclosed,"Pune, Maharashtra, Bangalore Rural, Karnataka, Chennai, Tamil Nadu","and build POCs. You will create requirement specifications from the business needs, def...",Network Engineering,load balancer,F5,Engineering,Networking,Load,Load balancing,,Just Now
Assistant Engineer Trainee - AET,https://www.naukri.com/job-listings-assistant-engineer-trainee-aet-ericsson-noida-uttar-pradesh-bengaluru-karnataka-0-to-1-years-310124009102,https://img.naukimg.com/logo_images/groups/v1/30928.gif,Ericsson,https://www.naukri.com/ericsson-jobs-careers-389,https://www.ambitionbox.com/reviews/ericsson-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,6544  Reviews,0-1 Yrs,Not disclosed,"Noida, Uttar Pradesh, Bengaluru, Karnataka",. Role: 6 months of in-person internship followed by FTE conversion basis performanceOn...,Service Alarm Monitoring,Order Handling,KPI,Escalations,SLA,Ticket Management,Order fulfillment,Assistance,Just Now
Network and Cloud Admin,https://www.naukri.com/job-listings-network-and-cloud-admin-hitachi-digital-services-hyderabad-pune-maharashtra-bengaluru-6-to-10-years-240124011590,https://img.naukimg.com/logo_images/groups/v1/3557212.gif,Hitachi Digital Services,https://www.naukri.com/hitachi-vantara-jobs-careers-1110,https://www.ambitionbox.com/reviews/hitachi-vantara-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,467  Reviews,6-10 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Maharashtra, Bengaluru",High degree of flexibility and willing to work in rotational shifts including night shi...,24/7 Rotation shift,Meraki Wifi,Aws Cloud,IPSEC VPN,palo alto,Troubleshooting And Configuration,ClearPass,Network administration,6 Days Ago
L3 Cloud Network Engineer,https://www.naukri.com/job-listings-l3-cloud-network-engineer-hitachi-digital-services-hyderabad-telangana-pune-maharashtra-bengaluru-10-to-14-years-240124011474,https://img.naukimg.com/logo_images/groups/v1/3557212.gif,Hitachi Digital Services,https://www.naukri.com/hitachi-vantara-jobs-careers-1110,https://www.ambitionbox.com/reviews/hitachi-vantara-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,467  Reviews,10-14 Yrs,30-40 Lacs PA,"Hybrid - Hyderabad, Telangana, Pune, Maharashtra, Bengaluru","Strong carrier grade network design, migration, and implementation experience of MPLS a...",Aws Cloud,VPN,MPLS,Network Routing,F5 Load balancer,Router,24x7 customer-facing networks,Switching Protocols,6 Days Ago
