title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Change Management Consultant,https://www.naukri.com/job-listings-change-management-consultant-capgemini-pune-maharashtra-bengaluru-mumbai-all-areas-4-to-9-years-290124002998,https://img.naukimg.com/logo_images/groups/v1/1288.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29393  Reviews,,Not disclosed,,"Hello, . We are pleased to let you know that there is a scheduled walk-in interview eve...",Change Management,Change,Change Request,ITIL,Change Request Management,Release Management,Release,Consulting,2 Days Ago
Security Analyst,https://www.naukri.com/job-listings-security-analyst-maintec-technologies-pune-bengaluru-mumbai-all-areas-4-to-9-years-310124008546,https://img.naukimg.com/logo_images/groups/v1/156324.gif,Maintec Technologies,https://www.naukri.com/maintec-technologies-jobs-careers-218129,https://www.ambitionbox.com/reviews/maintec-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.4,116  Reviews,4-9 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Skill: Security AnalystTotal Exp: 4+ YearsLocation: Bangalore/Mumbai/PuneNotice Period:...,Cyberark,SIEM,Arcsight,SOC,Dlp,Soar,Carbon,Edr,Just Now
SOC Senior Consultant,https://www.naukri.com/job-listings-soc-senior-consultant-ibm-india-pvt-limited-mumbai-pune-bangalore-bengaluru-4-to-9-years-250124911212,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,4-9 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru",Responsibilities: The consultants should have depth of knowledge and experience in core...,Networking,Ethernet,Agile,Presales,Cobit,SOC,Consulting,Senior,5 Days Ago
Ping Directory,https://www.naukri.com/job-listings-ping-directory-capgemini-pune-maharashtra-bengaluru-mumbai-all-areas-7-to-12-years-250124010608,https://www.naukri.com/hotjobs/images/v3/capgemini1.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29393  Reviews,7-12 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bengaluru, Mumbai (All Areas)",Experience with IAM protocols such as LDAP SAML OAuth OIDC XACML Kerberos and SCIM Expe...,Ping Data Sync,Ping,Ping Directory,Data,Synchronization,Directory,,,5 Days Ago
Security Architect,https://www.naukri.com/job-listings-security-architect-capgemini-pune-maharashtra-bengaluru-mumbai-all-areas-9-to-12-years-250124010538,https://www.naukri.com/hotjobs/images/v3/capgemini1.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29393  Reviews,9-12 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bengaluru, Mumbai (All Areas)",Responsible for overall use of resources and initiation of corrective action where requ...,SOC,SIEM,Security Architect,Architecture,Security Engineering,Security,,,5 Days Ago
SOC Senior Consultant,https://www.naukri.com/job-listings-soc-senior-consultant-ibm-india-pvt-limited-noida-mumbai-pune-4-to-9-years-250124911125,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,4-9 Yrs,Not disclosed,"Noida, Mumbai, Pune",Responsibilities: The consultants should have depth of knowledge and experience in core...,Networking,Ethernet,Agile,Presales,Cobit,SOC,Senior,Consulting,5 Days Ago
Services Lead,https://www.naukri.com/job-listings-services-lead-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-8-years-220124501844,https://img.naukimg.com/logo_images/groups/v1/36136.gif,Nokia,https://www.naukri.com/nokia-jobs-careers-173783,https://www.ambitionbox.com/reviews/nokia-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1980  Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Knowledge & Experience    Undergraduate degree in CS or Engineering, ITIL V4 certific...",Wireless,Assurance,Performance management,VAS,Customer service,Troubleshooting,Continuous improvement,cisco,8 Days Ago
Incident Manager,https://www.naukri.com/job-listings-incident-manager-atos-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-8-years-190124501641,https://img.naukimg.com/logo_images/groups/v1/647144.gif,Atos,https://www.naukri.com/atos-jobs-careers-111,https://www.ambitionbox.com/reviews/atos-global-it-solutions-and-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,835  Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Adjusting the incident management process as required to ensure its effectiveness .,Cloud,Manager Technology,Quality analysis,digital transformation,Technology,Analysis,Technology management,Digital,11 Days Ago
Client Partner - Head of Azure,https://www.naukri.com/job-listings-client-partner-head-of-azure-fractal-analytics-pvt-ltd-mumbai-pune-bangalore-bengaluru-20-to-30-years-220124906865,https://img.naukimg.com/logo_images/groups/v1/3191404.gif,Fractal Analytics,https://www.naukri.com/fractal-analytics-jobs-careers-439,https://www.ambitionbox.com/reviews/fractal-analytics-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,573  Reviews,20-30 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru","Qualifications: . Bachelors degree in Computer Science, Information Technology, or a re...",Azure,Team management,cloud security,cloud architecture,Service Delivery,cost optimization,Client Engagement,Security,8 Days Ago
Network Security Sr Engineer,https://www.naukri.com/job-listings-network-security-sr-engineer-atos-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-8-years-120124501230,https://img.naukimg.com/logo_images/groups/v1/647144.gif,Atos,https://www.naukri.com/atos-jobs-careers-111,https://www.ambitionbox.com/reviews/atos-global-it-solutions-and-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,835  Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Experience with testing different types of networks including VOIP, GSM, etc . Security...",GSM,ISO,HIPAA,VOIP,Network security,Project planning,Vulnerability assessment,Firewall,18 Days Ago
