title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Product Management Specialist,https://www.naukri.com/job-listings-product-management-specialist-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-7-years-290124501562,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",". Support cut over, data profiling, extraction, cleansing activities . 5 to 7 years of ...",Product management,Material management,System testing,ERP,SAP,Business analysis,Scheduling,ABAP,1 Day Ago
Product Owner,https://www.naukri.com/job-listings-product-owner-infosys-hyderabad-telangana-pune-maharashtra-bengaluru-karnataka-5-to-10-years-290124005594,https://img.naukimg.com/logo_images/groups/v1/13832.gif,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,https://www.ambitionbox.com/reviews/infosys-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,31446  Reviews,5-10 Yrs,Not disclosed,"Hyderabad, Telangana, Pune, Maharashtra, Bengaluru, Karnataka","Experience in Business Process Consulting, problem definition, requirement elicitationY...",Product Owner,MS Dynamics CRM,Agile,ERP,ERP Implementation,MS Project,Supply Chain,CRM,2 Days Ago
Associate Product Owner,https://www.naukri.com/job-listings-associate-product-owner-siemens-limited-bangalore-bengaluru-0-to-10-years-290124502909,https://img.naukimg.com/logo_images/groups/v1/40604.gif,Siemens,https://www.naukri.com/siemens-jobs-careers-73816,https://www.ambitionbox.com/reviews/siemens-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,4154  Reviews,0-10 Yrs,Not disclosed,Bangalore/Bengaluru,Responsible for the definition and delivery of a part of a product from a customer and ...,Product management,Training,Agile development,Consulting,Product life cycle management,Siemens,product life cycle,Project planning,1 Day Ago
Assistant Manager - Product Specialist - Thermal Management,https://www.naukri.com/job-listings-assistant-manager-product-specialist-thermal-management-vertiv-group-corp-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-10-to-12-years-240124500625,https://img.naukimg.com/logo_images/groups/v1/191756.gif,Emerson Network Power,https://www.naukri.com/emerson-network-power-jobs-careers-307175,https://www.ambitionbox.com/reviews/vertiv-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,683  Reviews,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",. DESIRED CANDIDATE PROFILE . TECHNICAL KNOWLEDGE & SKILLS . Should have a strong HVAC ...,Telecom,Lead generation,HVAC,Time management,Product presentation,Mechanical,thermal,Site feasibility,7 Days Ago
Outbound Product Manager  || Openings For HCL Software,https://www.naukri.com/job-listings-outbound-product-manager-openings-for-hcl-software-hcltech-noida-uttar-pradesh-chennai-tamil-nadu-bengaluru-5-to-10-years-310124007289,https://img.naukimg.com/logo_images/groups/v1/194354.gif,HCLTech,https://www.naukri.com/hcltech-jobs-careers-460,https://www.ambitionbox.com/reviews/hcl-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,28116  Reviews,5-10 Yrs,10-20 Lacs PA,"Noida, Uttar Pradesh, Chennai, Tamil Nadu, Bengaluru","Knowledge of automation, cloud, digital workplace, or AI is preferred . Strong presenta...",Outbound Product Manager,New Product Development,OPM Governance Cycle,Artificial Intelligence,Product Advocacy,Product Life Cycle Management,Product development,Outbound,Few Hours Ago
Hyperion Consultant,https://www.naukri.com/job-listings-hyperion-consultant-oracle-hyderabad-bengaluru-karnataka-5-to-10-years-290124001434,https://img.naukimg.com/logo_images/groups/v1/18850.gif,Oracle,https://www.naukri.com/oracle-jobs-careers-6101,https://www.ambitionbox.com/reviews/oracle-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,4300  Reviews,5-10 Yrs,Not disclosed,"Hyderabad, Bengaluru, Karnataka",Hyderabad or Bangalore preferredMinimum 3 years in customer-facing EPM Cloud implementa...,EPM,Hyperion,Hyperion Planning,Essbase,HFM,Fcc,Fccs,Planning,2 Days Ago
Technical Product Manager,https://www.naukri.com/job-listings-technical-product-manager-visa-inc-bangalore-bengaluru-8-to-10-years-310124500934,https://img.naukimg.com/logo_images/groups/v1/4637611.gif,Visa Inc,https://www.naukri.com/visa-consolidated-support-services-jobs-careers-1863840,https://www.ambitionbox.com/reviews/visa-consolidated-support-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.6,15  Reviews,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,. 8 or more years of work experience with a Bachelors Degree or an Advanced Degree . Ed...,Product management,Computer science,Access management,Analytical,Web development,Agile,VAS,Scrum,Just Now
"Sr. Product Manager, Click To Pay",https://www.naukri.com/job-listings-sr-product-manager-click-to-pay-visa-inc-bangalore-bengaluru-4-to-6-years-310124500928,https://img.naukimg.com/logo_images/groups/v1/4637611.gif,Visa Inc,https://www.naukri.com/visa-consolidated-support-services-jobs-careers-1863840,https://www.ambitionbox.com/reviews/visa-consolidated-support-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.6,15  Reviews,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Imagine being part of an agile team where your ideas transform the online checkout ex...,Product management,User research,Analytical,Focus,Agile,Manager Technology,Market research,Product design,Just Now
Product Owner I,https://www.naukri.com/job-listings-product-owner-i-philips-india-limited-bangalore-bengaluru-6-to-10-years-310124500783,https://img.naukimg.com/logo_images/groups/v1/13254.gif,Philips,https://www.naukri.com/philips-jobs-careers-929,https://www.ambitionbox.com/reviews/philips-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,1351  Reviews,6-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Product Owner for AMD Business . To succeed in this role, you should have the following...",Computer science,Usage,Mobile development,agile project management,Focus,Product life cycle management,Healthcare,Management,Just Now
Digital Product Owner,https://www.naukri.com/job-listings-digital-product-owner-ericsson-india-global-services-pvt-ltd-bangalore-bengaluru-5-to-8-years-310124500634,https://img.naukimg.com/logo_images/groups/v1/30928.gif,Ericsson,https://www.naukri.com/ericsson-jobs-careers-389,https://www.ambitionbox.com/reviews/ericsson-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,6544  Reviews,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,proficient planning and organizing skills to ensure landmarks are met . .,Usage,Operational risk,Analytical,Finance,Infrastructure,Business management,Data quality,Business modeling,Just Now
