title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Change Manager,https://www.naukri.com/job-listings-change-manager-maintec-technologies-pune-maharashtra-bengaluru-mumbai-all-areas-4-to-9-years-310124009268,https://img.naukimg.com/logo_images/groups/v1/156324.gif,Maintec Technologies,https://www.naukri.com/maintec-technologies-jobs-careers-218129,https://www.ambitionbox.com/reviews/maintec-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.4,116  Reviews,4-9 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bengaluru, Mumbai (All Areas)",Skill: Change ManagerTotal Exp: 4+ YearsLocation: Bangalore/Mumbai/PuneNotice Period: 1...,Change Management,Problem Management,Release Management,Change,Management,Release,,,Just Now
Project Manager,https://www.naukri.com/job-listings-project-manager-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-8-years-190124500833,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Experience of Product Management in a Product Team, and utilising Agile best practices ...",Product management,JMS,Hibernate,Content management,JBoss,Agile,Struts,EJB,11 Days Ago
Centre Manager,https://www.naukri.com/job-listings-centre-manager-global-talent-track-pune-maharashtra-bangalore-rural-karnataka-mumbai-all-areas-2-to-4-years-200423009615,,Global Talent Track,https://www.naukri.com/global-talent-track-jobs-careers-2374520,https://www.ambitionbox.com/reviews/global-talent-track-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,81  Reviews,2-4 Yrs,3-5 Lacs PA,"Pune, Maharashtra, Bangalore Rural, Karnataka, Mumbai (All Areas)",Roles and Responsibilities Meeting Mobilization targetManaging the centre administratio...,Center Management,project management,Cdc,Heading Branch,Skill Development,Mobilisation,Placement Coordination,strategic planning,14 Days Ago
Digital Transformation PMO-5-9Y- Bangalore-PWC SDC,https://www.naukri.com/job-listings-digital-transformation-pmo-5-9y-bangalore-pwc-sdc-pwc-service-delivery-center-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-111223004765,https://img.naukri.com/logo_images/v3/676499.gif,PwC Service Delivery Center,https://www.naukri.com/pwc-service-delivery-center-jobs-careers-676499,https://www.ambitionbox.com/reviews/pwc-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,6844  Reviews,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)","9 PM IST to 5 AM IST (Night Shift) Analytical Prowess: Beyond basic analytical skills, ...",Digital Transformation,PMP,PMO,CAPM,IT Project Management,Prince2,IT projects,Digital,14 Days Ago
Continuous Improvement Specialist,https://www.naukri.com/job-listings-continuous-improvement-specialist-visa-inc-bangalore-bengaluru-0-to-3-years-310124500912,https://img.naukimg.com/logo_images/groups/v1/4637611.gif,Visa Inc,https://www.naukri.com/visa-consolidated-support-services-jobs-careers-1863840,https://www.ambitionbox.com/reviews/visa-consolidated-support-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.6,15  Reviews,0-3 Yrs,Not disclosed,Bangalore/Bengaluru,5+ years of relevant work experience with a Bachelor?s Degree or at least 2 years of wo...,Process design,Green belt,Change management,Automation,Operational excellence,Analytical,Business strategy,Continuous improvement,Just Now
Business Change Management Professional,https://www.naukri.com/job-listings-business-change-management-professional-capgemini-technology-services-india-limited-mumbai-pune-bangalore-bengaluru-4-to-6-years-090124908645,https://www.naukri.com/hotjobs/images/v3/captech_jun20.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29393  Reviews,4-6 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru",Leading the change management activities within a structured process framework Designin...,Change Management,operational support,Risk assessment,ITIL,Risk analysis,Change,Management,Management Professional,22 Days Ago
Rebadging-Program Manager,https://www.naukri.com/job-listings-rebadging-program-manager-photon-infotech-p-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-12-to-14-years-020124500698,https://img.naukimg.com/logo_images/groups/v1/4619011.gif,Photon,https://www.naukri.com/photon-jobs-careers-6946,https://www.ambitionbox.com/reviews/photon-interactive-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,1164  Reviews,12-14 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Focusing on quality delivery for the project scope and making sure client requirements ...,Excel,Project finance,Project management,Analytical,Reconciliation,Revenue recognition,Scrum,Scheduling,28 Days Ago
Service Delivery Project Manager/ Jnr. Project Manager,https://www.naukri.com/job-listings-service-delivery-project-manager-jnr-project-manager-telus-international-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-8-to-10-years-150124500677,https://img.naukimg.com/logo_images/groups/v1/250496.gif,TELUS International,https://www.naukri.com/telus-international-jobs-careers-1601,https://www.ambitionbox.com/reviews/telus-international-philippines-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,892  Reviews,8-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",. Must have 8-10 years of work experience . Must have clinical / healthcare knowledge w...,BPO,Basic,Agile,Healthcare,Customer service,Document management,Customer experience,Consumer electronics,15 Days Ago
Birlasoft is Hiring !! JAVA React JS Fullstack Developer/Lead,https://www.naukri.com/job-listings-birlasoft-is-hiring-java-react-js-fullstack-developer-lead-birlasoft-noida-pune-bengaluru-7-to-12-years-300124009177,https://www.naukri.com/hotjobs/images/v3/birlasoftmay16.gif,Birlasoft,https://www.naukri.com/birlasoft-jobs-careers-152,https://www.ambitionbox.com/reviews/birlasoft-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,2271  Reviews,7-12 Yrs,Not disclosed,"Hybrid - Noida, Pune, Bengaluru",Minimum 1 yr hands on experience on React JSExperience : 7-13 yrs. Experience in Core J...,SQL Queries,Spring Boot,Core java,React.Js,Microservices,Development,Full Stack,Bootstrap,1 Day Ago
Assistant Project Manager,https://www.naukri.com/job-listings-assistant-project-manager-atkins-realis-mumbai-bangalore-bengaluru-7-to-9-years-160124500055,,Atkinsr?alis,https://www.naukri.com/atkinsr-alis-jobs-careers-124023562,https://www.ambitionbox.com/reviews/snc-lavalin-international-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.3,645  Reviews,7-9 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru",Bachelors / master s degree in construction / Project Management . Strong verbal and wr...,Procurement,Automation,PMP,Analytical,Trend analysis,Cash flow,MSP,Risk management,15 Days Ago
