title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Design and Relase Engineer - Vehicle Personalisation,https://www.naukri.com/job-listings-design-and-relase-engineer-vehicle-personalisation-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-6-years-170124501762,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Lead and manage the onsite team technically and report to people leader. Engineering Gr...,Design verification,STA,Purchase,Engineering management,Development Manager,Vice President Engineering,CAD,Management,13 Days Ago
Hardware Design Engineer,https://www.naukri.com/job-listings-hardware-design-engineer-tata-consultancy-services-tcs-pune-maharashtra-bangalore-bengaluru-karnataka-4-to-8-years-300124009053,https://img.naukimg.com/logo_images/groups/v1/223346.gif,Tata Consultancy Services (TCS),https://www.naukri.com/tata-consultancy-services-tcs-jobs-careers-13542,https://www.ambitionbox.com/reviews/tcs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,72424  Reviews,4-8 Yrs,Not disclosed,"Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka",Required Technical Skill: Hardware Design Engineer . Experience: 4-8 Years . Experience...,Hardware Design,Microprocessors,Analog Design,Design,Analog,Hardware,Design engineering,,1 Day Ago
Saturday drive 03 Feb'24: Interior / Exterior Trims Automotive Design,https://www.naukri.com/job-listings-saturday-drive-03-feb-24-interior-exterior-trims-automotive-design-tech-mahindra-pune-maharashtra-bengaluru-karnataka-4-to-9-years-300124008620,https://img.naukimg.com/logo_images/groups/v1/2114.gif,Tech Mahindra,https://www.naukri.com/tech-mahindra-jobs-careers-1066,https://www.ambitionbox.com/reviews/tech-mahindra-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,27288  Reviews,,Not disclosed,,Notice Period : Immediate to 60 days only Work Experience: 4 to 9 Years. Interview Date...,Trims,catia,Catia V5,Interior Trims,Exterior Trims,Exterior,Interiors,Interior designing,1 Day Ago
Saturday drive 03 Feb'24: Interior / Exterior Trims Automotive Design,https://www.naukri.com/job-listings-saturday-drive-03-feb-24-interior-exterior-trims-automotive-design-tech-mahindra-pune-maharashtra-bengaluru-karnataka-4-to-9-years-290124003950,https://img.naukimg.com/logo_images/groups/v1/2114.gif,Tech Mahindra,https://www.naukri.com/tech-mahindra-jobs-careers-1066,https://www.ambitionbox.com/reviews/tech-mahindra-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,27288  Reviews,4-9 Yrs,Not disclosed,"Pune, Maharashtra, Bengaluru, Karnataka",Notice Period : Immediate to 60 days only Work Experience: 4 to 9 Years. Interview Date...,Trims,catia,Catia V5,Interior Trims,Exterior Trims,Drives,Automotive Design,Interior designing,2 Days Ago
R&D Manager,https://www.naukri.com/job-listings-r-d-manager-hitachi-energy-bangalore-bengaluru-10-to-19-years-310124501825,https://img.naukimg.com/logo_images/groups/v1/5935206.gif,Hitachi Energy,https://www.naukri.com/hitachi-energy-jobs-careers-5456398,https://www.ambitionbox.com/reviews/hitachi-energy-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,478  Reviews,10-19 Yrs,Not disclosed,Bangalore/Bengaluru,Bachelor s or Master s degree in electrical engineering with minimum 10 years of experi...,Product management,Electrical engineering,Automation,Interpersonal skills,Project management,Agile,Business strategy,Continuous improvement,Just Now
ATCi - IX - Aero Design Engineering - 10,https://www.naukri.com/job-listings-atci-ix-aero-design-engineering-10-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-300124904313,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,About Accenture:Accenture is a global professional services company with leading capabi...,Aero Design,CATIA,Engineering services,Design engineering,Aerospace,Product design,Fire protection,Manufacturing operations,1 Day Ago
Industry X - Automotive Engineering - Design Engineering - 11,https://www.naukri.com/job-listings-industry-x-automotive-engineering-design-engineering-11-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-300124904113,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Combining unmatched experience and specialized skills across more than 40 industries, w...",Automotive engineering,Engineering services,Design engineering,Networking,Finance,Engineering Design,Manufacturing operations,Manufacturing,1 Day Ago
Senior Research Associate,https://www.naukri.com/job-listings-senior-research-associate-itc-limited-itc-foods-beverages-division-bengaluru-karnataka-7-to-12-years-300124010946,https://img.naukimg.com/logo_images/groups/v1/57716.gif,ITC,https://www.naukri.com/itc-jobs-careers-111464,https://www.ambitionbox.com/reviews/itc-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,5163  Reviews,7-12 Yrs,Not disclosed,"Bengaluru, Karnataka",Competency Required: . Experience : 7-8 years experience in analytical testing field in...,Analytical Research,Laboratory Management,Analytical Method Validation,Wet Chemistry,EHS Management,Sample Analysis,Sampling,Analytical,1 Day Ago
Design Engineer,https://www.naukri.com/job-listings-design-engineer-schneider-electric-india-pvt-ltd-bangalore-bengaluru-3-to-7-years-290124500744,https://img.naukimg.com/logo_images/groups/v1/20302.gif,Schneider Electric,https://www.naukri.com/schneider-electric-jobs-careers-18252,https://www.ambitionbox.com/reviews/schneider-electric-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,3415  Reviews,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Knowledge in Manufacturing of sheet metal & plastic parts . Good Knowledge of PDM and i...,pro-e wildfire,Prototype,electromechanical,Sheet metal,Project management,Conceptualization,product life cycle,DFSS,1 Day Ago
Drug Product Medical Device & Packaging- Injectable,https://www.naukri.com/job-listings-drug-product-medical-device-packaging-injectable-biocon-bengaluru-karnataka-4-to-9-years-290124007624,https://img.naukimg.com/logo_images/groups/v1/30626.gif,Biocon,https://www.naukri.com/biocon-jobs-careers-31125,https://www.ambitionbox.com/reviews/biocon-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,1036  Reviews,4-9 Yrs,3.5-8.5 Lacs PA,"Bengaluru, Karnataka",Responsible to update the Dashboards on Plan vs actual on weekly and monthly basis. Key...,PACKING,Injectables,Medical Devices,Trackwise,Medical,Packaging,Drug,Devices,1 Day Ago
