title,title href,logoImage src,comp-name,comp-name href,rating href,main-2,review,expwdth,ni-job-tuple-icon,locWdth,job-desc,dot-gt,dot-gt 2,dot-gt 3,dot-gt 4,dot-gt 5,dot-gt 6,dot-gt 7,dot-gt 8,job-post-day
Manager II - UX,https://www.naukri.com/job-listings-manager-ii-ux-citiustech-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-10-to-12-years-240124501618,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,10-12 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",Deliver delightful and functional UX design for complex software for consumer and enter...,Front end,Industrial design,Coding,Enterprise applications,Interaction design,Agile,Healthcare,Life sciences,6 Days Ago
UI and Services Engineer,https://www.naukri.com/job-listings-ui-and-services-engineer-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-6-years-220124501757,,Mclaren Strategic Solutions (mss),https://www.naukri.com/mclaren-strategic-solutions-mss-jobs-careers-124066566,,,,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Minimum of a Bachelor s degree in computer science, Engineering, Mathematics or equival...",Computer science,continuous integration,Front end,GIT,Architecture,Javascript,Agile,Software development life cycle,8 Days Ago
Video Streaming Professional,https://www.naukri.com/job-listings-video-streaming-professional-telus-international-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-220124502737,https://img.naukimg.com/logo_images/groups/v1/250496.gif,TELUS International,https://www.naukri.com/telus-international-jobs-careers-1601,https://www.ambitionbox.com/reviews/telus-international-philippines-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,892  Reviews,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",". Good knowledge in Streaming APIs, Communications APIs and Media APIs, SDK",BPO,Debugging,Agile,HTTP,SDK,Customer service,Troubleshooting,Consumer electronics,8 Days Ago
FCS CAD and Carryover Engineer,https://www.naukri.com/job-listings-fcs-cad-and-carryover-engineer-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-080124500970,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Create and update 2D drawings as required .  BE/ BTech with experience of 5 years in CA...,Accessories,CAD,Archiving,Engineering Design,3d cad,Design support,FCS,Engineering,22 Days Ago
Senior Product Designer,https://www.naukri.com/job-listings-senior-product-designer-mindtickle-pune-bangalore-bengaluru-4-to-9-years-300124501072,https://img.naukimg.com/logo_images/groups/v1/1715830.gif,Mindtickle,https://www.naukri.com/mindtickle-jobs-careers-2254142,https://www.ambitionbox.com/reviews/mindtickle-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,61  Reviews,4-9 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru","Bachelor s degree in Product Design, Graphic Design, Human Computer Interaction, or rel...",Graphic designing,LMS,Web technologies,Instructional design,Interaction design,Product sales,Customer support,Product design,1 Day Ago
System Design Engineer,https://www.naukri.com/job-listings-system-design-engineer-siemens-limited-bangalore-bengaluru-0-to-7-years-290124502931,https://img.naukimg.com/logo_images/groups/v1/40604.gif,Siemens,https://www.naukri.com/siemens-jobs-careers-73816,https://www.ambitionbox.com/reviews/siemens-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,4154  Reviews,0-7 Yrs,Not disclosed,Bangalore/Bengaluru,. Work experience 3 to 7 years for Hardware / system Design in the domain of building t...,Design engineering,HVAC,Automation,Quality check,Siemens,Instrumentation,System design,Project delivery,1 Day Ago
Sr. System Design Engineer,https://www.naukri.com/job-listings-sr-system-design-engineer-siemens-limited-bangalore-bengaluru-0-to-7-years-290124502929,https://img.naukimg.com/logo_images/groups/v1/40604.gif,Siemens,https://www.naukri.com/siemens-jobs-careers-73816,https://www.ambitionbox.com/reviews/siemens-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,4154  Reviews,0-7 Yrs,Not disclosed,Bangalore/Bengaluru,Effectively handle global projects in Building Automation System(BAS) for as...,Business services,Design engineering,HVAC,Automation,Quality check,Siemens,Instrumentation,System design,1 Day Ago
Interior Designer,https://www.naukri.com/job-listings-interior-designer-nobroker-technologies-solutions-nobroker-in-pune-maharashtra-gurugram-haryana-mumbai-all-areas-2-to-4-years-301123005457,,Nobroker Technologies Solutions (NoBroker.in ),https://www.naukri.com/nobroker-technologies-solutions-n-obroker-in-jobs-careers-1632940,https://www.ambitionbox.com/reviews/nobroker-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.3,1561  Reviews,2-4 Yrs,2.25-5 Lacs PA,"Pune, Maharashtra, Gurugram, Haryana, Mumbai (All Areas)",JD for Interior DesignerAbout The Company :NoBroker.com is the world's largest C2C mark...,Modular Kitchen,AutoCAD 3D,VRAY,Interior Designing,Sketchup,2D,Residential,Presentation Drawings,7 Days Ago
Bim Modeler,https://www.naukri.com/job-listings-bim-modeler-karch-architects-mumbai-suburban-maharashtra-pune-mumbai-all-areas-2-to-5-years-300124010818,,Karch Architects,https://www.naukri.com/karch-architects-jobs-careers-123726463,https://www.ambitionbox.com/reviews/kathir-architects-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,1,2  Reviews,2-5 Yrs,Not disclosed,"Mumbai Suburban, Maharashtra, Pune, Mumbai (All Areas)",Experience in Revit Structure 3D Modeling Develop detailed design drawings using Revit ...,Bim,REVIT,REVIT Structure,REVIT MEP,AutoCAD,REVIT Architecture,3D Modeling,Architecture,1 Day Ago
Pre-Sales Solution Designer - Cisco,https://www.naukri.com/job-listings-pre-sales-solution-designer-cisco-telus-international-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-10-years-150124500675,https://img.naukimg.com/logo_images/groups/v1/250496.gif,TELUS International,https://www.naukri.com/telus-international-jobs-careers-1601,https://www.ambitionbox.com/reviews/telus-international-philippines-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,892  Reviews,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Shift : Canadian working hours .  . CCNA OR CCNP certification profferedHe / She should...,BPO,Managed services,Project management,Consulting,Presales,Customer service,Visio,Licensing,15 Days Ago
